switch_id,name,location,device_type,max_power_rating
ac_01,AC1,Bedroom,AC,700.0
ac_02,AC2,Living Room,AC,700.0
ac_03,AC3,Kitchen,AC,700.0
mw_01,Microwave,Kitchen,Microwave,1200.0
rf_01,Refrigerator,Kitchen,Refrigerator,200.0
dw_01,Dishwasher,Kitchen,Dishwasher,1300.0
sp_01,SmartPlug1,Living Room,Smart Plug,200.0
wm_01,WashingMachine,Laundry Room,Washing Machine,1500.0
tv_01,TV,Living Room,TV,150.0
lt_01,Light1,Living Room,Light,100.0
lt_02,Light2,Kitchen,Light,100.0
lt_03,Light3,Bedroom,Light,100.0
lt_04,Light4,Bathroom,Light,100.0
lt_05,Light5,Office,Light,100.0
lt_06,Light6,Garage,Light,100.0
